Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Guar seed,2016,Rabi       ,Andhra Pradesh,42.0,80,890.0,6436.5,14.7,1.9
Guar seed,2019,Kharif     ,Andhra Pradesh,1.0,0,899.2,171.76,0.37,0.0
Guar seed,2019,Rabi       ,Andhra Pradesh,6.0,0,899.2,1030.56,2.22,0.0
Guar seed,1999,Whole Year ,Tamil Nadu,332323.0,3514258,922.8,35269439.99,89727.21,10.65148148
Guar seed,2000,Whole Year ,Gujarat,275200.0,59900,379.7,27016384.0,71552.0,0.213076923
Guar seed,2001,Whole Year ,Gujarat,264200.0,111400,666.5,26982746.0,68692.0,0.47
Guar seed,2002,Whole Year ,Gujarat,179600.0,55700,458.4,17002732.0,44900.0,0.371
Guar seed,2002,Whole Year ,Punjab,30800.0,22700,301.8,2915836.0,7700.0,0.708
Guar seed,2003,Whole Year ,Gujarat,266000.0,203800,902.5,26328680.0,63840.0,0.798
Guar seed,2003,Whole Year ,Punjab,38500.0,27100,451.7,3810730.0,9240.0,0.674285714
Guar seed,2004,Whole Year ,Gujarat,214400.0,157100,719.8,23228096.0,45024.0,0.803636364
Guar seed,2004,Whole Year ,Punjab,27100.0,19400,366.4,2936014.0,5691.0,0.8
Guar seed,2005,Whole Year ,Gujarat,188100.0,108100,942.4,22556952.0,39501.0,0.618181818
Guar seed,2005,Whole Year ,Punjab,23900.0,17800,566.7,2866088.0,5019.0,0.786666667
Guar seed,2006,Whole Year ,Gujarat,204700.0,82800,1056.2,26142237.0,45034.0,0.445454545
Guar seed,2006,Whole Year ,Punjab,20400.0,15800,569.6,2605284.0,4488.0,0.82
Guar seed,2006,Whole Year ,Uttar Pradesh,2494.0,2097,590.5,318508.74,548.68,0.842068966
Guar seed,2007,Whole Year ,Gujarat,195800.0,129600,1021.6,26119720.0,31328.0,0.753333333
Guar seed,2007,Kharif     ,Punjab,21900.0,18200,527.2,2921460.0,3504.0,0.772
Guar seed,2007,Kharif     ,Uttar Pradesh,2370.0,1988,672.9,316158.0,379.2,0.842363636
Guar seed,2008,Whole Year ,Gujarat,150400.0,52700,746.1,21513216.0,13536.0,0.506666667
