Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333
Coriander,1998,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5
Coriander,1998,Whole Year ,Karnataka,17935.0,2982,1260.8,1771978.0,5201.15,0.118
Coriander,1999,Whole Year ,Puducherry,3.0,2,1434.5875,318.39,0.81,0.67
Coriander,2000,Whole Year ,Andhra Pradesh,58441.0,19993,935.6,5737152.97,15194.66,0.395
Coriander,2000,Whole Year ,Karnataka,9829.0,1467,1213.3,964912.93,2555.54,0.119047619
Coriander,2000,Whole Year ,Puducherry,1.0,1,1434.5875,98.17,0.26,1.0
Coriander,2001,Whole Year ,Andhra Pradesh,57913.0,22711,928.4,5914654.69,15057.38,0.531176471
Coriander,2001,Whole Year ,Karnataka,11307.0,1845,1002.9,1154783.91,2939.82,0.116818182
Coriander,2001,Whole Year ,Puducherry,2.0,1,1434.5875,204.26,0.52,0.5
Coriander,2002,Whole Year ,Andhra Pradesh,45073.0,13721,648.1,4267060.91,11268.25,0.414705882
Coriander,2002,Whole Year ,Tamil Nadu,25326.0,4707,315.9,2397612.42,6331.5,0.191818182
Coriander,2003,Whole Year ,Andhra Pradesh,48644.0,15999,826.0,4814783.12,11674.56,0.405294118
Coriander,2003,Whole Year ,Karnataka,7797.0,1187,867.6,771747.06,1871.28,0.1195
Coriander,2003,Whole Year ,Puducherry,2.0,1,1434.5875,197.96,0.48,0.5
Coriander,2003,Whole Year ,Tamil Nadu,27722.0,8052,345.6,2743923.56,6653.28,0.300740741
Coriander,2004,Whole Year ,Karnataka,9626.0,1491,1117.7,1042880.84,2021.46,0.119
Coriander,2004,Whole Year ,Meghalaya,53.0,306,4767.9,5742.02,11.13,5.4925
Coriander,2004,Whole Year ,Tamil Nadu,19350.0,8391,1034.0,2096379.0,4063.5,0.4236
Coriander,2005,Whole Year ,Andhra Pradesh,28114.0,12725,1075.5,3371430.88,5903.94,0.503333333
Coriander,2005,Whole Year ,Karnataka,9163.0,1398,1316.2,1098826.96,1924.23,0.125714286
Coriander,2005,Whole Year ,Tamil Nadu,21062.0,6424,1364.1,2525755.04,4423.02,0.296956522
Coriander,2006,Whole Year ,Andhra Pradesh,25375.0,10061,845.2,3240641.25,5582.5,0.495
Coriander,2006,Whole Year ,Karnataka,5998.0,888,1146.3,766004.58,1319.56,0.113157895
Coriander,2006,Whole Year ,Tamil Nadu,17425.0,5676,927.9,2225346.75,3833.5,0.321304348
Coriander,2007,Rabi       ,Puducherry,4.0,2,1434.5875,533.6,0.64,0.5
Coriander,2007,Whole Year ,Karnataka,6423.0,2242,1323.3,856828.2,1027.68,0.329545455
Coriander,2007,Whole Year ,Tamil Nadu,13288.0,5120,1067.2,1772619.2,2126.08,0.385909091
Coriander,2008,Rabi       ,Puducherry,2.0,1,1434.5875,286.08,0.18,0.5
Coriander,2008,Whole Year ,Andhra Pradesh,33439.0,15616,944.6,4783114.56,3009.51,0.585625
Coriander,2008,Whole Year ,Karnataka,7415.0,4002,1164.1,1060641.6,667.35,0.549545455
Coriander,2008,Whole Year ,Tamil Nadu,14139.0,4815,1201.9,2022442.56,1272.51,0.357826087
Coriander,2009,Rabi       ,Puducherry,6.0,3,1434.5875,934.92,1.02,0.5
Coriander,2009,Whole Year ,Andhra Pradesh,37468.0,20605,711.0,5838263.76,6369.56,0.695625
Coriander,2009,Whole Year ,Karnataka,6580.0,3224,1321.0,1025295.6,1118.6,0.498095238
Coriander,2009,Whole Year ,Tamil Nadu,15977.0,6315,928.5,2489536.14,2716.09,0.355416667
Coriander,2010,Whole Year ,Andhra Pradesh,20313.0,13749,1297.0,3374192.43,4875.12,0.671428571
Coriander,2010,Whole Year ,Karnataka,4348.0,1622,1317.7,722246.28,1043.52,0.368
Coriander,2011,Whole Year ,Andhra Pradesh,12821.0,7427,861.9,2147773.92,4230.93,0.6025
Coriander,2011,Whole Year ,Karnataka,3042.0,1236,1178.986364,509595.84,1003.86,0.406
Coriander,2011,Whole Year ,Tamil Nadu,10804.0,5049,926.5,1809886.08,3565.32,0.454583333
Coriander,2012,Kharif     ,Andhra Pradesh,1109.0,717,968.7,167237.2,343.79,0.575
Coriander,2012,Rabi       ,Andhra Pradesh,7528.0,4534,968.7,1135222.4,2333.68,0.723333333
Coriander,2012,Whole Year ,Karnataka,4219.0,1667,956.2,636225.2,1307.89,0.401304348
Coriander,2013,Kharif     ,Andhra Pradesh,517.0,333,1062.3,74701.33,139.59,0.62
Coriander,2013,Rabi       ,Andhra Pradesh,7934.0,4685,1062.3,1146383.66,2142.18,0.668
Coriander,2013,Whole Year ,Karnataka,2648.0,822,1235.6,382609.52,714.96,0.319473684
Coriander,2013,Whole Year ,Tamil Nadu,7527.0,2614,740.9,1087576.23,2032.29,0.349166667
Coriander,2014,Kharif     ,Andhra Pradesh,164.0,85,687.6,24757.44,54.12,0.51
Coriander,2014,Rabi       ,Andhra Pradesh,40014.0,20699,687.6,6040513.44,13204.62,0.518333333
Coriander,2014,Whole Year ,Karnataka,4339.0,1469,1238.5,655015.44,1431.87,0.3344
Coriander,2014,Whole Year ,Tamil Nadu,9230.0,8048,911.3,1393360.8,3045.9,0.855384615
Coriander,2015,Kharif     ,Andhra Pradesh,36.0,13,940.7,5684.76,11.88,0.396666667
Coriander,2015,Rabi       ,Andhra Pradesh,25302.0,10385,940.7,3995438.82,8349.66,0.4425
Coriander,2015,Whole Year ,Karnataka,4494.0,1927,1024.9,709647.54,1483.02,0.388636364
